"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bulgaria","BGR","Surface area (sq. km)","AG.SRF.TOTL.K2","","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","",
"Bahrain","BHR","Surface area (sq. km)","AG.SRF.TOTL.K2","","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","710","710","710","710","710","710","710","710","710","710","710","720","730","740","740","750","760","760","762","767","770","770","771","778","779","780","780","783","785","",
"Bahamas, The","BHS","Surface area (sq. km)","AG.SRF.TOTL.K2","","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","",
"Bosnia and Herzegovina","BIH","Surface area (sq. km)","AG.SRF.TOTL.K2","","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","",
"Belarus","BLR","Surface area (sq. km)","AG.SRF.TOTL.K2","","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207610","",
"Belize","BLZ","Surface area (sq. km)","AG.SRF.TOTL.K2","","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","",
"Bermuda","BMU","Surface area (sq. km)","AG.SRF.TOTL.K2","","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","4290","4290","4290","4290","4290","4290","4290","4290","",
"Bolivia","BOL","Surface area (sq. km)","AG.SRF.TOTL.K2","","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","",
"Brazil","BRA","Surface area (sq. km)","AG.SRF.TOTL.K2","","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","",
"Barbados","BRB","Surface area (sq. km)","AG.SRF.TOTL.K2","","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","",
